raceId,driverId,grid,finish,statusId,dnf,num_stops,first_stop_lap,avg_stop_time,total_stop_time,year,position_improved,position_change,race_length_proxy,pit_timing_ratio,avg_time_per_stop,dbscan_label,cluster,strategy
841,20,1,1,1,0,2.0,14.0,23.3195,46.639,2011,0,0,28.0,0.5,23.3195,0,0,Early Pit Strategy
841,1,2,2,1,0,2.0,16.0,23.213,46.426,2011,0,0,28.0,0.5714285714285714,23.213,0,0,Early Pit Strategy
841,808,6,3,1,0,2.0,16.0,25.109,50.218,2011,1,3,28.0,0.5714285714285714,25.109,0,0,Early Pit Strategy
841,4,5,4,1,0,3.0,12.0,24.055000000000003,72.165,2011,1,1,28.0,0.42857142857142855,24.055000000000003,1,0,Early Pit Strategy
841,17,3,5,1,0,3.0,11.0,24.058666666666667,72.176,2011,0,-2,28.0,0.39285714285714285,24.058666666666667,1,0,Early Pit Strategy
841,18,4,6,1,0,3.0,17.0,20.950333333333333,62.851,2011,0,-2,28.0,0.6071428571428571,20.950333333333333,1,0,Early Pit Strategy
841,13,8,7,1,0,3.0,13.0,24.145666666666667,72.437,2011,1,1,28.0,0.4642857142857143,24.145666666666667,1,0,Early Pit Strategy
841,67,10,8,11,1,2.0,15.0,24.221,48.442,2011,1,2,28.0,0.5357142857142857,24.221,0,1,Aggressive Multi-Stop
841,16,16,9,11,1,2.0,16.0,24.9245,49.849,2011,1,7,28.0,0.5714285714285714,24.9245,0,1,Aggressive Multi-Stop
841,814,14,10,11,1,2.0,14.0,24.5975,49.195,2011,1,4,28.0,0.5,24.5975,0,1,Aggressive Multi-Stop
841,153,12,11,11,1,3.0,1.0,25.903,77.709,2011,1,1,28.0,0.03571428571428571,25.903000000000002,1,0,Early Pit Strategy
841,2,18,12,11,1,2.0,15.0,24.046,48.092,2011,1,6,28.0,0.5357142857142857,24.046,0,1,Aggressive Multi-Stop
841,15,20,13,12,1,2.0,16.0,24.8735,49.747,2011,1,7,28.0,0.5714285714285714,24.8735,0,1,Aggressive Multi-Stop
841,816,22,14,14,1,2.0,14.0,25.8525,51.705,2011,1,8,28.0,0.5,25.8525,0,1,Aggressive Multi-Stop
841,10,21,15,19,1,1.0,18.0,23.792,23.792,2011,1,6,28.0,0.6428571428571429,23.792,2,1,Aggressive Multi-Stop
841,22,17,16,7,1,4.0,13.0,26.175,104.7,2011,1,1,28.0,0.4642857142857143,26.175,3,1,Aggressive Multi-Stop
841,3,7,17,4,1,1.0,16.0,23.716,23.716,2011,0,-10,28.0,0.5714285714285714,23.716,2,0,Early Pit Strategy
841,5,19,18,47,1,1.0,17.0,24.865,24.865,2011,1,1,28.0,0.6071428571428571,24.865,2,1,Aggressive Multi-Stop
841,30,11,19,4,1,2.0,1.0,24.5045,49.009,2011,0,-8,28.0,0.03571428571428571,24.5045,0,0,Early Pit Strategy
841,155,9,21,2,1,2.0,16.0,24.128,48.256,2011,0,-12,28.0,0.5714285714285714,24.128,0,0,Early Pit Strategy
841,815,13,22,2,1,1.0,23.0,23.438,23.438,2011,0,-9,28.0,0.8214285714285714,23.438,2,0,Early Pit Strategy
842,20,1,1,1,0,3.0,13.0,22.40833333333333,67.225,2011,0,0,22.0,0.5909090909090909,22.40833333333333,1,0,Early Pit Strategy
842,18,4,2,1,0,3.0,13.0,22.451333333333334,67.354,2011,1,2,22.0,0.5909090909090909,22.451333333333334,1,0,Early Pit Strategy
842,2,6,3,1,0,3.0,13.0,23.241,69.723,2011,1,3,22.0,0.5909090909090909,23.241,1,0,Early Pit Strategy
842,17,3,4,1,0,4.0,10.0,22.19825,88.793,2011,0,-1,22.0,0.45454545454545453,22.19825,3,0,Early Pit Strategy
842,13,7,5,1,0,3.0,13.0,24.886,74.658,2011,1,2,22.0,0.5909090909090909,24.886,1,0,Early Pit Strategy
842,4,5,6,1,0,4.0,14.0,24.51,98.04,2011,0,-1,22.0,0.6363636363636364,24.51,3,0,Early Pit Strategy
842,155,10,7,1,0,2.0,17.0,23.361,46.722,2011,1,3,22.0,0.7727272727272727,23.361,0,1,Aggressive Multi-Stop
842,1,2,8,1,0,4.0,12.0,23.25275,93.011,2011,0,-6,22.0,0.5454545454545454,23.25275,3,0,Early Pit Strategy
842,30,11,9,1,0,3.0,14.0,22.354666666666663,67.064,2011,1,2,22.0,0.6363636363636364,22.354666666666663,1,1,Aggressive Multi-Stop
